EAST,NORTH,Cu
244.9893939,178.5272727,0.238
278.2251515,186.669697,0.184
215.4221212,149.1090909,0.624
215.5512121,132.3369697,0.302
224.0715152,164.2506061,0.344
184.4430303,118.8260606,0.204
183.24,145.1424242,0.146
223.8627273,148.5921212,0.328
250.4772727,105.8121212,0.258
225.2248485,139.4951515,0.43
239.5512121,132.0190909,0.26
188.9366667,134.2460606,0.174
251.9984848,126.1133333,0.296
231.0906061,111.250303,0.238
250.4075758,139.0278788,0.392
240.5651515,184.850303,0.54
266.6330303,159.4984848,0.228
224.0915152,98.01757576,0.328
212.419697,169.1918182,0.208
243.3190909,105.5236364,0.348
220.0948485,108.0687879,0.26
172.0354545,108.0687879,0.308
113.2090909,232.4127273,0.418
157.7190909,26.63424242,0.274
483.9439394,225.2345455,0.304
106.7366667,45.34515152,0.782
41.6269697,222.2818182,0.686
60.09909091,186.699697,0.774
176.360303,9.832424242,0.198
23.57242424,202.3581818,0.414
95.47242424,151.4754545,0.714
498.3,173.7451515,0.346
142.7663636,211.7930303,0.166
38.51515152,82.83606061,0.394
28.43393939,195.6372727,0.494
24.72575758,161.4072727,0.554
55.3269697,69.06666667,0.498
153.3745455,205.6190909,0.176
91.22727273,124.2045455,0.646
67.49606061,100.8906061,0.726
402.0124242,195.3787879,0.342
59.79090909,133.4406061,0.45
88.63242424,59.98969697,0.45
159.8366667,187.2463636,0.23
94.24969697,131.2336364,0.514
176.6384848,225.0060606,0.174
194.7327273,182.6233333,0.294
158.9021212,3.151515152,0.256
67.90363636,83.54212121,0.556
185.9142424,211.0275758,0.468
9.086969697,196.3233333,0.366
115.7542424,114.3918182,0.408
12.60636364,158.2457576,0.772
76.16515152,121.9975758,0.512
61.98818182,58.15030303,0.45
162.8887879,194.1360606,0.26
63.03212121,220.5618182,1.96
458.3830303,215.3027273,0.414
169.609697,4.533333333,0.14
136.1848485,214.6563636,0.312
40.05606061,96.23787879,0.502
109.5006061,18.81,0.58
21.89212121,217.7581818,0.18
90.21333333,191.1336364,1.034
111.8766667,119.4721212,0.382
5.329090909,145.6690909,0.416
114.0839394,214.2487879,0.492
72.35757576,182.0069697,0.998
85.74939394,38.56484848,0.252
37.31212121,149.8548485,0.448
389.7142424,239.670303,0.496
53.79606061,64.61272727,0.532
51.46939394,165.0857576,0.936
91.80393939,177.8115152,0.782
487.0457576,232.3730303,0.292
494.9,166.8257576,0.266
119.1839394,174.9481818,0.238
61.1430303,64.27454545,0.476
72.79484848,148.3039394,1.284
47.88060606,191.6309091,0.746
58.32939394,83.62151515,0.644
121.8484848,95.21393939,0.966
277.3206061,244.4721212,0.396
145.2121212,151.8830303,0.162
52.71212121,185.5166667,0.67
398.0454545,207.140303,0.298
415.1457576,196.1942424,0.412
85.51060606,110.0175758,0.578
23.81090909,179.9390909,0.692
103.9927273,86.15666667,0.83
138.8393939,231.3290909,0.29
94.62757576,54.90939394,0.37
451.1554545,214.2884848,0.204
448.1130303,207.3687879,0.61
27.97666667,207.9854545,0.414
78.83969697,76.35393939,0.622
487.5330303,165.6924242,0.362
475.1651515,170.9118182,0.418
14.94272727,173.1090909,0.512
184.5027273,204.8733333,0.27
417.6112121,203.3127273,0.94
127.5948485,36.03939394,0.628
144.0487879,131.4521212,0.578
172.5921212,200.0418182,0.312
26.47545455,219.8957576,0.398
125.2287879,68.86787879,0.508
82.7269697,189.7121212,1.308
112.9406061,193.9869697,0.634
72.00969697,226.6363636,0.752
395.3612121,247.5045455,0.848
42.02454545,177.1057576,0.942
41.84575758,108.0290909,0.438
459.3672727,235.3654545,0.868
57.75272727,61.29212121,0.472
506.840303,228.4557576,0.478
50.44545455,72.95393939,0.6
89.02030303,170.6733333,1.092
142.12,218.6730303,0.25
396.2063636,220.5818182,0.588
49.03363636,125.9642424,0.684
64.21515152,127.5151515,0.774
158.1066667,200.2009091,0.206
499.5427273,160.6418182,0.252
20.70909091,153.7818182,0.512
501.9090909,234.629697,0.352
66.39242424,167.5812121,0.704
64.42393939,78.18333333,0.478
44.59969697,184.3830303,0.624
52.68242424,99.10121212,0.716
55.96333333,159.3690909,0.684
10.37939394,146.0272727,0.602
41.51757576,138.5706061,0.81
165.7024242,200.6381818,0.28
415.1357576,231.209697,0.354
167.4421212,188.0118182,0.208
423.6460606,217.6587879,0.308
31.53606061,117.3445455,0.496
123.1709091,115.5848485,0.672
71.56212121,128.1912121,0.668
41.82575758,74.27606061,0.422
7.635454545,191.1833333,0.402
96.15848485,205.0724242,0.91
138.8590909,170.8324242,0.522
76.78181818,175.6639394,0.838
80.88757576,203.0342424,0.902
121.649697,214.7457576,0.59
2.893333333,151.2266667,0.346
6.671212121,186.4212121,0.308
132.3272727,31.91363636,0.342
65.86545455,54.69060606,0.476
84.4169697,176.5687879,0.714
143.909697,230.7127273,0.356
29.93515152,90.43181818,0.178
70.37909091,108.0190909,0.564
38.63454545,203.799697,0.508
45.87212121,71.17424242,0.282
93.76242424,164.5787879,0.826
117.6033333,188.0715152,0.546
31.53606061,220.7509091,0.142
18.90969697,166.7460606,0.862
166.8257576,134.4645455,0.472
108.8145455,166.8157576,0.672
154.6669697,19.77454545,0.24
407.9775758,235.0472727,0.576
93.54393939,31.85393939,0.434
108.4169697,80.17181818,0.61
62.8630303,106.9951515,0.638
93.04666667,111.0912121,0.412
129.8518182,62.65393939,0.64
395.3315152,252.0081818,0.926
105.0763636,106.189697,0.602
149.3778788,211.7930303,0.244
136.4433333,130.5275758,0.474
407.1224242,228.4357576,0.346
41.74636364,217.1218182,0.69
109.8884848,186.8884848,0.4
464.7160606,249.8109091,0.472
107.969697,26.00818182,0.694
45.7230303,151.9127273,0.428
10.11090909,182.0963636,0.494
107.2536364,125.3578788,0.732
484.7690909,259.4845455,0.256
113.2784848,160.5921212,0.282
146.0869697,205.0524242,0.164
515.7181818,248.4490909,1.246
436.8887879,232.7706061,0.422
131.6909091,49.87878788,0.296
17.93545455,214.6563636,0.404
32.72909091,189.4236364,0.51
173.8248485,169.4006061,0.282
91.67484848,211.0872727,1.038
165.4439394,218.3148485,0.452
85.73939394,223.9818182,0.688
73.69969697,48.26818182,0.452
70.01121212,89.40787879,0.436
62.93242424,193.6290909,0.708
72.14878788,94.87575758,0.702
467.2215152,236.4290909,0.792
100.970303,78.95878788,1.062
28.56333333,104.5990909,0.43
113.9348485,127.4954545,1.006
111.1809091,207.1006061,0.328
146.3654545,171.9754545,0.67
154.6369697,2.296666667,0.116
421.6675758,230.8121212,0.32
64.95090909,94.83606061,0.634
146.3057576,225.8409091,0.2
31.71484848,98.75333333,0.366
151.0878788,166.010303,0.576
514.9727273,229.6687879,0.216
49.35181818,145.4306061,0.628
137.1490909,184.1742424,0.154
449.3557576,227.5709091,0.37
129.6627273,183.0509091,0.256
487.3639394,252.3760606,0.452
434.0851515,239.2727273,0.288
40.30484848,189.8612121,0.522
34.7569697,90.52121212,0.45
121.6993939,9.196363636,0.754
78.40212121,222.9378788,0.688
390.43,251.4712121,0.34
162.3421212,20.95757576,0.214
117.9712121,68.16181818,0.698
119.88,16.49363636,0.788
403.7124242,221.6754545,0.554
158.2360606,217.9569697,0.24
521.4348485,241.7281818,0.676
144.7645455,185.2181818,0.222
141.1854545,36.98393939,0.332
147.4090909,18.88969697,0.356
68.68909091,121.0133333,0.748
104.6290909,139.4454545,0.598
425.8930303,224.6778788,0.252
77.27878788,142.2193939,0.35
